Iteration, Max iteration, Mean abs differential rot err, Min differential rotation err, Mean abs differential trans err, Min differential translation err
0, 40, 0, 0.001, 0, 0.01
1, 40, 0, 0.001, 0, 0.01
2, 40, 0, 0.001, 0, 0.01
3, 40, 0, 0.001, 0, 0.01
4, 40, 0.0250306, 0.001, 0.68504, 0.01
5, 40, 0.0134851, 0.001, 0.354251, 0.01
6, 40, 0.0104996, 0.001, 0.333229, 0.01
7, 40, 0.00844888, 0.001, 0.376924, 0.01
8, 40, 0.00829212, 0.001, 0.4636, 0.01
9, 40, 0.00914512, 0.001, 0.545793, 0.01
10, 40, 0.00842571, 0.001, 0.583536, 0.01
11, 40, 0.00758275, 0.001, 0.580501, 0.01
12, 40, 0.00636301, 0.001, 0.534391, 0.01
13, 40, 0.00423005, 0.001, 0.475838, 0.01
14, 40, 0.00343849, 0.001, 0.412511, 0.01
15, 40, 0.00274768, 0.001, 0.381561, 0.01
16, 40, 0.00305005, 0.001, 0.360144, 0.01
17, 40, 0.0029, 0.001, 0.30271, 0.01
18, 40, 0.00259863, 0.001, 0.254555, 0.01
19, 40, 0.00234858, 0.001, 0.207745, 0.01
20, 40, 0.00199605, 0.001, 0.198441, 0.01
21, 40, 0.00205898, 0.001, 0.225553, 0.01
22, 40, 0.00186083, 0.001, 0.243267, 0.01
23, 40, 0.00195701, 0.001, 0.252211, 0.01
24, 40, 0.00202781, 0.001, 0.246384, 0.01
25, 40, 0.00198943, 0.001, 0.254904, 0.01
26, 40, 0.00232809, 0.001, 0.292261, 0.01
27, 40, 0.00289543, 0.001, 0.337879, 0.01
28, 40, 0.00342575, 0.001, 0.390172, 0.01
29, 40, 0.0038884, 0.001, 0.442708, 0.01
30, 40, 0.00425132, 0.001, 0.453686, 0.01
31, 40, 0.00416863, 0.001, 0.460377, 0.01
32, 40, 0.00431182, 0.001, 0.457624, 0.01
33, 40, 0.00369288, 0.001, 0.431172, 0.01
34, 40, 0.002967, 0.001, 0.427803, 0.01
35, 40, 0.00242161, 0.001, 0.423089, 0.01
36, 40, 0.00146232, 0.001, 0.395596, 0.01
37, 40, 0.00141342, 0.001, 0.368023, 0.01
38, 40, 0.00137765, 0.001, 0.336719, 0.01
39, 40, 0.00119618, 0.001, 0.331846, 0.01
